x,y
310.415,314.503
-56.075,516.565
69.289,544.89
927.922,75.419
321.919,520.387
101.735,-86.062
-45.632,-55.126
210.193,539.266
896.175,338.926
308.15,523.555
347.235,49.676
273.32,341.303
168.986,311.967
212.611,40.556
888.046,310.8
248.942,480.885
222.22,-61.348
193.32,-70.202
164.967,473.331
118.629,309.595
68.74,67.55
-83.776,-67.375
46.679,70.796
1.382,489.035
146.222,-84.033
-74.604,-76.409
-34.597,489.998
281.789,483.777
361.492,331.957
-28.926,340.177
691.511,287.456
320.134,288.492
252.619,74.909
187.221,291.361
163.677,541.54
124.287,287.738
887.265,369.533
174.933,470.308
115.39,315.837
226.497,74.399
219.336,518.433
60.391,73.242
706.277,250.946
-52.356,-85.419
207.856,441.422
287.814,351.858
356.354,288.524
87.733,298.921
155.96,300.721
409.729,42.176
254.536,74.281
-24.512,-61.724
320.69,32.363
251.259,481.995
861.407,-57.225
-50.98,531.49
386.983,88.043
877.454,332.251
337.867,76.767
225.611,448.289
878.463,271.425
783.251,61.325
11.609,-80.103
34.366,331.062
350.105,36.968
383.104,31.546
227.765,486.141
84.93,-89.511
264.756,53.446
117.061,202.435
51.334,81.15
324.11,326.345
103.211,-84.222
254.982,311.799
677.386,296.268
889.411,201.653
311.869,34.46
693.764,324.614
352.721,289.548
303.855,472.074
37.482,482.118
350.601,53.948
154.133,-88.644
-28.929,315.561
169.063,191.302
325.971,90.966
-20.436,-64.071
878.61,122.76
29.793,-63.371
34.847,-96.24
306.35,286.267
176.807,-53.337
-49.956,316.539
164.183,-57.897
-21.483,498.161
394.664,38.195
20.785,537.502
855.986,193.745
853.985,-49.604
253.969,-92.496
861.55,171.301
324.176,-83.366
17.004,277.27
5.172,318.869
232.622,484.591
351.929,534.365
371.461,485.585
1.813,-64.227
377.391,307.936
888.746,171.433
902.397,184.24
873.015,-60.267
253.686,-65.724
159.041,305.462
813.064,101.389
322.757,334.382
41.963,-104.019
255.166,532.837
79.283,469.261
-82.867,-70.925
887.462,206.79
24.46,70.866
800.121,68.815
339.45,53.073
710.854,408.908
869.39,154.544
939.022,61.769
194.503,76.58
324.334,282.595
-12.304,-63.274
63.04,-94.353
840.406,224.478
133.041,56.105
311.145,513.644
840.92,317.721
813.685,69.866
0.38,60.171
894.237,256.292
415.808,84.071
330.864,283.424
801.474,66.96
108.151,494.48
345.955,91.819
257.174,520.882
146.882,542.218
45.782,53.473
166.138,-55.204
84.59,523.798
205.023,55.129
210.466,-91.3
77.447,300.838
353.892,532.291
103.055,-89.621
907.961,157.881
341.351,295.259
725.377,287.763
896.591,264.052
-27.65,63.63
144.333,-83.663
9.623,-60.352
329.491,90.913
343.576,495.259
314.774,319.866
326.337,338.179
297.251,472.521
857.605,219.222
33.333,314.201
870.926,-76.581
24.805,535.359
856.049,-73.945
247.997,536.325
75.037,307.702
827.966,-83.983
4.973,63.327
190.162,490.283
220.039,499.881
930.345,60.998
274.345,294.951
866.285,187.792
324.452,-67.871
106.285,-59.505
89.517,325.786
857.804,185.92
88.618,315.448
-114.798,-35.098
203.843,84.432
115.892,467.111
44.408,72.988
879.438,380.637
205.822,206.406
210.539,543.309
841.379,281.881
45.263,347.971
86.637,306.262
931.215,120.718
46.756,473.997
383.553,74.242
324.204,469.025
892.739,136.582
177.215,457.013
-0.884,538.053
329.45,281.971
89.252,70.979
224.117,520.796
-19.998,-56.238
294.638,76.19
280.76,314.6
374.985,302.453
-52.66,481.849
186.099,463.709
206.345,76.357
321.685,46.732
247.774,55.501
619.581,-166.375
315.563,324.429
858.781,216.547
111.106,-67.365
275.403,61.219
785.413,70.527
24.074,73.22
-53.152,318.934
873.179,236.871
840.023,298.111
153.509,-93.527
286.881,271.3
77.953,488.216
734.435,397.573
58.123,306.07
26.242,-57.97
205.902,70.585
298.277,-89.684
101.633,-52.277
199.398,195.719
373.444,91.407
878.99,356.821
839.13,327.22
137.574,-98.568
256.123,-66.925
242.58,51.883
-6.412,-90.381
216.201,-85.932
922.453,69.756
169.121,515.212
178.135,306.939
850.422,-53.286
265.197,302.614
289.246,345.45
232.377,510.019
71.98,331.664
338.887,495.175
851.759,291.039
6.304,280.206
358.925,536.069
595.464,92.28
834.611,127.664
322.715,56.588
82.37,-83.669
267.414,506.376
60.906,327.635
85.67,468.62
319.832,60.569
839.469,344.993
879.755,240.839
865.181,318.522
843.221,369.706
-14.372,280.262
305.657,88.752
306.512,47.254
202.168,-95.874
904.052,128.054
-91.401,-102.924
870.908,272.941
358.84,329.068
854.005,297.955
57.995,477.493
246.766,-70.144
74.307,79.526
165.855,74.399
90.362,-53.426
263.423,50.844
305.141,537.937
331.672,349.17
209.721,494.366
177.45,76.321
870.633,344.508
-27.092,-106.353
716.738,415.757
172.617,45.205
69.42,289.791
266.678,495.261
-0.039,-65.156
357.115,500.428
-84.323,-81.057
223.867,77.326
902.973,159.825
857.5,-66.725
38.627,494.401
185.029,194.618
67.199,317.689
922.861,94.224
110.69,321.458
125.474,475.64
362.96,87.984
276.499,343.439
880.764,317.588
63.937,327.065
-23.608,488.455
116.157,325.656
327.532,295.792
346.176,53.579
90.255,-53.135
894.214,273.271
219.986,207.241
707.944,324.111
-38.733,-99.716
282.599,48.313
39.085,541.351
121.45,-69.409
802.675,76.043
375.547,82.251
63.998,333.317
207.503,77.121
367.302,317.587
255.797,460.099
852.041,219.077
864.104,344.876
209.551,-79.687
87.65,52.87
710.665,230.816
869.583,189.487
-4.558,62.115
179.161,524.702
30.519,281.182
28.962,-76.708
266.917,328.822
902.375,192.63
851.63,138.091
-0.912,333.446
296.001,-80.128
715.37,377.713
240.693,77.308
202.047,484.821
-95.683,-75.828
108.085,-59.139
2.054,-43.301
132.919,490.383
123.907,295.847
844.667,184.135
317.781,-86.061
-33.138,487.811
896.103,269.265
708.613,330.087
210.644,178.943
225.242,506.415
76.501,-95.149
1.103,-72.173
269.334,-84.127
245.191,49.069
-45.048,-86.616
242.322,491.777
-18.161,347.585
829.593,113.238
161.123,433.68
302.965,470.916
22.11,545.819
853.191,131.366
-20.859,62.39
22.626,519.952
360.349,485.817
112.914,475.174
837.35,301.723
303.309,327.784
-37.32,482.214
69.535,77.696
5.195,520.799
-59.281,-56.282
180.136,305.153
-5.184,329.511
851.912,-100.952
382.416,327.844
-13.202,-94.4
707.536,336.542
862.101,-81.738
235.219,305.154
832.058,103.99
-46.389,520.54
844.418,242.383
866.1,197.108
865.067,163.839
-44.56,480.59
282.644,-77.88
372.174,68.764
118.624,192.213
895.703,286.876
106.416,54.637
329.69,530.415
923.348,76.539
824.387,564.516
-9.312,483.211
-43.598,480.266
34.169,351.396
862.624,364.854
253.205,537.215
110.2,489.662
327.361,-87.428
347.862,34.287
-72.565,295.27
56.432,288.484
900.574,224.092
-80.604,-75.646
86.119,72.397
0.607,483.146
291.023,322.367
-29.643,-65.111
183.381,305.226
39.773,315.458
234.876,307.251
214.486,59.436
874.215,141.325
2.483,312.189
70.859,301.654
172.699,193.55
290.716,511.464
270.854,321.725
-6.641,486.603
840.238,168.895
-21.381,489.063
223.93,482.763
52.692,308.186
-100.751,-69.874
841.482,191.732
274.61,327.408
-38.295,-95.426
-14.893,344.521
38.282,53.167
262.082,-67.003
149.088,304.577
326.667,-88.314
887.152,226.139
140.983,204.673
-86.991,-56.638
297.677,348.286
416.616,74.11
849.611,121.837
310.926,342.678
283.393,73.574
334.049,52.596
868.325,312.777
25.971,58.187
719.017,319.506
908.009,74.973
176.554,-84.473
172.957,523.174
133.717,190.763
284.077,34.485
105.881,470.894
163.207,200.991
226.613,311.322
9.837,281.697
779.899,496.935
28.524,-43.728
77.33,-55.661
861.27,252.983
262.422,76.655
167.926,-85.828
175.792,184.997
117.895,193.028
148.246,289.91
909.401,91.539
-94.719,-93.31
88.562,301.857
232.419,524.788
389.887,54.456
849.869,-69.149
914.156,88.587
843.429,222.416
44.69,545.278
152.22,201.678
84.546,303.802
98.252,-53.128
131.894,288.08
-171.183,366.626
389.811,503.758
28.983,-72.689
713.468,299.165
379.697,43.161
270.751,486.821
310.043,300.868
-1.434,-75.09
66.617,-48.91
855.458,194.334
0.819,281.327
728.059,340.798
1029.056,-11.657
67.123,305.981
689.296,329.42
203.189,209.115
701.332,253.809
868.181,202.996
874.613,359.1
-104.974,-77.215
899.997,117.531
7.994,301.801
14.596,64.396
899.631,173.308
282.746,-77.166
198.087,195.199
851.648,-67.418
6.075,-46.275
140.823,487.321
58.463,-57.334
45.194,52.199
240.927,74.073
76.98,528.78
82.951,319.18
339.194,280.624
907.472,134.781
342.527,296.489
117.042,-64.15
-0.34,304.921
280.724,48.362
18.671,60.858
1.079,-71.094
370.869,69.846
730.265,296.165
67.793,-80.345
236.733,-71.05
321.598,285.445
211.694,446.591
375.156,314.168
-9.712,-62.235
159.647,293.265
858.446,124.268
-11.76,530.15
342.356,511.222
247.59,317.193
868.028,179.116
149.392,487.083
897.417,337.161
-35.434,480.799
321.884,499.473
134.33,308.616
885.5,150.469
235.011,89.22
2.489,316.853
352.431,279.598
48.954,527.057
801.242,50.674
845.352,-74.59
-24.258,483.371
-61.12,307.838
273.523,46.591
720.936,364.644
59.051,-78.019
820.361,117.617
-82.977,-41.426
279.991,538.587
233.855,-91.098
-60.408,299.812
32.839,-45.554
260.516,347.861
828.133,116.804
846.418,-60.779
23.165,-83.272
837.005,345.901
140.379,479.705
733.479,386.688
174.976,-60.462
135.463,507.556
891.441,226.421
849.357,333.172
20.45,55.651
113.741,-75.777
-54.594,480.183
71.306,513.777
258.345,320.418
381.614,516.165
878.456,273.413
-21.301,343.905
898.77,262.318
211.667,299.434
849.246,-68.941
62.084,49.425
4.587,-103.972
90.457,521.005
-62.403,-43.027
201.274,-69.302
295.413,33.775
146.832,295.002
897.354,247.848
317.028,314.515
291.355,536.85
68.166,527.359
837.296,317.697
-20.69,526.48
919.707,57.496
-15.252,277.652
848.003,-62.098
860.139,-65.888
311.706,-77.054
179.611,502.332
266.937,518.789
206.475,450.022
373.106,297.953
868.943,-75.725
98.382,73.592
64.464,501.637
264.937,296.297
392.166,80.831
156.983,483.987
265.508,509.65
894.401,207.073
0.413,-46.129
-58.019,-72.827
280.818,513.883
109.397,536.502
729.686,285.075
845.264,357.691
225.313,303.701
745.787,437.509
41.513,473.848
148.719,515.179
208.672,523.814
261.044,307.923
-22.19,297.034
-22.501,323.481
35.594,516.68
774.414,52.987
69.606,-80.271
-55.885,-80.772
32.963,272.514
213.282,80.519
93.635,-91.735
843.452,279.287
703.02,245.037
121.684,192.647
711.01,428.314
-99.851,-105.708
11.595,-61.769
166.28,79.102
837.27,335.888
898.131,270.897
215.144,503.341
788.098,53.563
844.205,201.205
101.459,204.552
195.815,495.224
897.308,134.527
856.794,212.938
257.247,37.749
115.231,466.727
40.678,61.393
11.1,300.433
894.742,324.444
60.177,327.841
108.604,-60.361
-82.158,-68.558
144.093,-84.898
-15.158,511.561
245.984,-74.715
-49.312,-73.082
-50.713,-51.888
62.75,-79.874
893.264,325.641
885.341,179.443
53.14,338.742
331.345,492.818
3.588,348.258
687.985,321.329
306.589,-81.656
76.759,541.469
70.658,292.643
107.622,470.32
117.891,54.443
-80.536,-76.459
853.145,151.287
713.136,380.745
80.511,305.756
252.201,473.005
185.988,500.93
85.429,-93.635
935.455,57.404
179.764,542.891
164.872,496.108
134.351,493.621
864.916,358.352
277.932,53.648
356.708,64.958
112.025,530.907
700.443,394.295
-58.158,-60.473
41.276,496.834
11.524,275.143
99.258,87.203
215.301,-89.745
8.052,284.676
37.203,-95.479
31.643,-63.9
322.818,88.877
894.222,141.207
369.255,87.102
177.786,513.063
66.164,472.549
848.071,201.553
357.786,520.015
247.01,468.903
-96.988,-38.57
112.857,52.415
282.908,295.702
-77.449,-42.712
177.336,76.071
-64.695,-67.257
377.683,325.248
882.501,322.487
127.244,45.206
336.819,317.591
-45.8,-83.451
66.007,547.763
-14.996,-68.743
179.265,452.44
681.442,332.38
857.597,-74.718
-4.926,304.762
7.925,58.693
196.06,-78.182
219.414,-87.246
177.337,294.776
861.38,200.846
-7.31,-47.713
689.407,424.056
804.375,74.201
287.191,62.594
271.676,-77.696
-56.32,-49.223
737.471,221.241
923.632,72.849
96.926,-88.724
344.387,90.848
682.408,386.885
383.097,98.307
105.944,181.394
678.432,301.487
105.168,519.399
414.257,25.286
212.889,79.679
115.599,495.951
63.099,319.954
845.488,276.341
792.379,78.469
-48.94,321.454
306.363,74.987
369.608,498.873
132.399,-62.932
-52.484,-88.476
5.256,516.372
840.941,326.02
899.877,253.054
710.949,402.221
139.011,183.572
699.128,401.566
717.503,260.903
57.203,-49.575
113.334,-62.071
149.072,529.178
196.505,-69.3
289.816,293.919
899.546,128.856
52.749,341.154
151.787,304.468
66.183,510.026
860.026,-55.866
923.054,68.402
288.109,284.161
351.088,78.561
143.195,88.949
4.33,80.624
844.098,267.456
72.277,-96.704
202.438,88.506
-15.018,-62.601
848.307,145.854
720.041,311.973
211.039,312.904
715.042,328.475
246.678,-92.771
114.75,317.098
214.244,531.546
35.532,280.493
842.857,315.194
189.388,304.613
856.407,140.512
17.606,-52.637
113.02,-84.83
319.811,499.85
-45.007,480.254
17.228,522.803
935.825,74.597
270.824,348.236
866.353,324.073
808.98,76.979
4.083,-91.124
69.757,-78.033
820.285,122.96
897.212,275.675
155.863,-55.991
339.646,283.095
246.34,-70.991
152.25,438.766
23.734,70.828
25.494,-57.373
-24.439,-58.86
326.453,92.064
380.07,46.727
47.673,78.316
882.653,255.113
302.106,478.193
-57.209,504.149
701.553,322.1
334.524,56.59
708.237,399.949
264.092,296.185
855.922,147.521
60.74,55.494
159.681,183.235
70.115,524.567
114.533,321.333
930.927,58.405
77.253,-72.564
311.473,78.061
849.864,136.457
-71.608,-68.653
138.546,-64.499
122.169,186.554
18.9,60.607
684.258,322.822
301.686,319.064
837.865,334.779
259.492,302.68
268.705,306.224
178.227,-53.146
73.59,289.862
270.951,319.779
156.254,48.545
310.754,529.889
302.263,283.028
198.304,69.057
846.925,350.603
401.498,64.221
731.365,437.794
370.991,35.483
330.587,44.195
128.808,493.962
174.145,524.758
851.113,341.075
927.278,73.282
314.164,328.207
377.291,318.892
31.732,63.647
-78.054,292.631
931.393,76.815
271.708,504.214
47.977,329.079
894.829,262.253
868.665,195.764
-18.924,534.878
335.354,307.086
162.59,-58.276
185.036,526.584
1038.074,-167.962
10.827,276.851
286.388,499.01
795.362,78.998
114.262,305.534
280.493,541.916
339.068,280.508
265.358,494.802
34.383,-73.956
887.829,168.084
388.652,44.311
46.793,511.384
883.708,315.443
224.439,501.637
70.5,-49.26
847.878,-65.529
134.618,501.454
111.144,300.766
841.769,283.534
286.735,321.198
260.213,-68.205
908.845,99.965
-1.919,80.332
209.01,-88.355
137.792,206.342
74.469,317.742
-64.761,295.54
852.556,145.62
312.72,478.589
188.509,88.923
729.003,239.561
928.43,109.081
866.703,-59.487
725.186,346.353
911.367,161.607
55.93,-68.049
23.026,540.69
143.029,206.062
305.928,342.436
220.085,73.169
876.054,323.057
58.87,-104.52
782.642,39.373
58.376,327.601
368.971,518.153
303.379,342.523
877.117,355.472
44.701,307.742
141.918,-79.904
64.691,-85.016
359.902,283.378
176.377,47.494
360.294,317.156
47.316,337.582
40.175,-50.927
400.197,70.143
129.005,-66.034
61.751,-77.19
-7.984,-77.81
873.881,295.909
294.578,536.822
59.668,285.6
276.194,-92.94
850.586,129.038
44.804,57.109
162.212,511.411
223.35,83.369
206.001,308.525
854.374,223.722
870.216,155.028
729.27,288.835
888.215,149.261
90.255,526.158
26.901,349.334
857.588,253.313
733.554,256.421
888.201,178.752
-75.551,-41.428
54.173,55.545
242.524,-68.008
141.044,192.439
156.763,479.201
842.898,174.955
159.861,283.075
143.455,-76.353
203.04,446.189
-36.048,-82.415
180.24,45.004
246.274,317.543
49.098,54.693
733.322,371.657
-64.469,335.824
61.711,-49.355
380.34,41.518
883.318,-69.895
854.838,124.349
-6.293,80.959
195.967,78.606
912.114,63.556
317.311,349.78
255.613,-78.187
39.357,342.934
857.612,-64.916
83.753,328.129
266.73,304.164
46.184,533.988
196.895,40.295
185.662,84.278
297.544,318.122
25.692,484.765
821.092,70.237
385.422,41.081
389.433,516.66
42.078,-58.58
276.441,305.51
265.752,55.885
249.62,75.934
719.824,246.337
892.223,256.598
130.588,296.1
31.998,323.732
275.282,325.288
-10.871,-97.7
53.378,-80.936
-14.563,285.91
384.015,522.48
697.145,257.208
190.072,433.745
-13.463,513.461
43.109,-75.856
234.102,328.518
811.671,75.155
88.792,296.791
358.187,323.3
210.54,509.055
-89.588,-41.703
116.732,188.157
209.663,81.014
226.82,303.826
155.472,297.374
136.893,-59.307
363.955,88.145
213.094,319.746
929.971,85.797
56.783,331.55
896.605,363.004
885.471,237.346
154.565,483.116
888.807,304.086
5.597,-65.27
363.719,486.764
54.832,64.767
28.637,-65.105
-34.105,315.179
64.99,324.764
286.76,80.006
321.071,300.457
173.113,455.443
-28.152,503.662
150.903,527.426
-85.777,-98.415
161.149,183.468
12.456,474.717
134.885,206.888
84.63,81.977
315.521,320.916
858.547,-67.154
608.11,-199.093
891.91,255.843
71.398,290.018
294.352,316.485
681.117,327.85
47.508,281.197
281.226,286.905
296.267,319.661
35.893,315.173
898.521,132.729
885.72,196.721
197.592,81.834
98.691,310.237
857.986,-65.014
371.21,493.636
374.953,519.955
106.912,491.902
704.419,394.378
-18.025,294.607
356.651,498.893
122.71,324.19
325.755,75.363
335.649,341.906
362.142,85.469
288.649,43.087
360.598,296.46
289.536,323.065
308.856,83.792
-40.133,301.917
869.792,255.052
704.739,244.7
713.426,313.109
918.197,102.182
247.489,514.562
358.498,300.244
201.836,508.429
143.711,-77.317
71.757,52.999
-29.365,-97.615
292.508,79.148
374.282,300.4
198.399,318.221
312.78,32.969
886.712,297.655
116.831,55.027
-77.279,-44.911
231.411,535.297
357.092,513.764
700.952,256.89
-38.2,-92.881
42.932,66.743
4.653,-85.132
72.226,-97.538
340.585,51.453
877.914,206.799
195.291,81.878
234.823,543.622
2.824,348.583
171.881,458.415
201.519,314.616
234.782,54.248
311.526,296.82
308.311,286.801
4.149,56.725
283.061,466.603
203.721,309.059
294.161,354.53
26.57,72.476
-86.589,-99.483
190.166,448.529
-27.943,332.455
199.439,187.351
290.761,-86.485
835.982,308.1
843.889,336.957
32.38,494.157
852.008,-101.655
278.185,-84.001
351.848,523.139
938.337,60.319
-11.238,318.01
-12.496,530.567
26.072,58.65
184.307,548.21
336.648,55.432
-5.502,-92.076
880.142,261.778
112.233,60.91
11.997,-61.764
256.333,289.838
149.091,525.262
14.182,278.8
-9.629,305.95
880.833,387.567
837.512,166.622
230.069,301.951
207.452,530.377
869.474,269.767
14.232,314.846
382.834,84.597
840.988,266.534
32.893,-102.409
354.661,501.368
242.417,544.897
29.468,319.559
289.186,328.434
874.773,-90.218
70.984,-49.767
801.399,49.2
702.857,280.445
605.2,102.913
793.024,68.456
218.897,84.302
189.341,307.753
151.878,530.453
840.558,156.375
846.84,364.347
317.328,87.929
-75.967,-101.99
128.923,460.186
4.857,278.874
367.544,489.33
267.146,-76.043
333.083,68.572
339.632,344.137
122.204,55.566
266.466,533.643
-97.882,-51.842
75.795,490.885
723.56,293.077
859.496,259.563
863.566,253.1
926.145,56.086
154.343,-85.012
816.169,115.298
917.682,95.485
791.276,60.899
55.728,-67.386
194.292,502.219
218.055,-64.539
-15.567,-59.481
-3.764,338.546
870.785,348.301
851.162,270.396
197.986,187.489
51.62,498.768
51.015,308.143
853.169,160.462
266.404,339.475
5.98,288.805
120.418,511.897
256.948,473.414
-2.05,301.087
38.172,-79.666
113.322,466.747
728.795,290.21
855.358,320.807
887.42,271.836
186.374,78.066
866.898,263.41
-37.702,322.19
147.751,-82.36
828.22,-83.096
211.898,-95.852
181.946,194.445
307.61,94.961
194.821,446.588
0.426,273.301
238.58,480.455
253.179,42.114
938.801,86.195
846.977,154.938
785.048,66.88
103.475,180.893
898.298,274.535
-16.206,76.346
-3.361,-93.602
201.761,306.41
90.953,331.359
781.446,52.088
844.131,-74.086
864.816,179.472
-96.316,-109.641
910.696,97.214
360.012,515.013
874.357,137.527
130.214,55.382
861.222,196.254
-34.764,-73.727
713.817,337.259
0.402,-91.082
204.764,312.878
184.91,531.585
183.362,87.304
849.332,299.857
877.764,-61.111
100.904,51.234
96.916,65.813
5.862,52.739
845.657,279.129
812.723,77.539
201.296,496.262
-53.867,505.653
312.459,90.802
839.083,-86.46
47.924,-66.196
2.918,515.936
357.004,295.536
740.424,408.184
142.046,83.298
916.83,136.616
385.693,47.287
133.215,483.312
33.199,343.231
260.055,512.326
311.269,44.468
107.934,204.336
58.389,-50.434
851.487,383.897
259.66,77.725
839.488,-84.573
340.471,292.109
-45.631,-73.501
866.624,-55.903
-32.119,315.378
93.254,493.63
76.359,-50.839
142.174,195.665
868.197,237.8
300.554,465.344
114.515,61.029
24.606,-53.439
866.326,169.588
793.6,49.282
869.469,156.919
115.615,-55.395
268.335,493.053
44.325,476.036
306.162,-70.027
191.114,-64.809
112.846,182.123
185.656,82.564
268.817,482.343
260.838,506.369
316.626,338.657
335.457,75.122
837.327,145.161
890.681,193.667
-4.02,-58.364
343.675,56.225
88.048,301.157
-25.526,503.853
370.87,485.288
-54.726,322.175
875.802,372.701
349.508,290.524
17.999,301.325
826.32,-82.501
26.017,77.719
-30.686,62.713
91.617,296.698
186.01,485.449
258.569,276.792
880.761,231.919
700.522,339.047
196.935,187.077
908.665,105.699
186.107,49.044
402.087,64.366
217.242,501.375
94.03,51.989
-65.118,315.092
320.511,84.979
121.332,489.926
293.691,86.571
182.454,48.742
112.019,524.806
352.046,56.611
131.299,293.239
133.286,460.958
124.941,499.16
324.653,298.107
405.454,43.252
940.492,82.199
880.37,303.532
109.896,475.693
24.015,51.581
889.404,201.73
355.309,36.153
-13.217,273.479
892.026,273.3
888.959,153.806
18.013,-87.12
157.101,469.697
11.5,-92.503
335.071,286.278
-30.107,-96.839
-76.157,-103.228
220.233,-62.825
706.959,240.018
243.065,519.76
691.159,296.716
352.235,84.633
912.148,89.586
235.065,540.64
817.79,107.439
866.768,176.928
340.557,298.857
846.006,263.902
-18.677,507.962
151.816,286.394
118.654,-60.733
284.035,330.207
51.85,307.816
850.462,227.574
175.213,42.333
375.335,78.649
127.106,323.992
167.461,199.605
-10.945,337.291
60.003,305.482
904.442,108.781
928.965,70.449
396.372,46.549
171.22,493.851
299.202,478.108
-3.172,480.233
689.821,312.303
34.979,-99.792
224.084,63.689
-23.692,340.716
229.497,525.719
145.991,179.193
-76.223,-39.718
1041.172,615.316
-2.493,346.856
844.871,276.259
904.699,140.597
731.35,449.59
178.874,529.538
268.412,313.525
917.687,126.945
895.004,114.523
173.17,-85.234
284.206,-83.775
852.159,205.366
334.12,328.115
99.873,-94.979
885.022,152.789
353.685,500.803
868.382,140.953
199.835,192.534
853.335,241.675
226.556,44.492
246.683,305.173
314.791,542.446
-45.493,-78.798
21.813,-58.761
294.387,-79.345
303.883,284.603
341.878,50.793
193.151,308.256
304.418,86.011
197.931,440.321
880.236,-69.506
34.328,-95.098
875.385,136.615
272.694,67.429
360.157,94.891
259.074,305.095
280.735,317.766
166.837,-98.088
80.597,518.555
851.928,221.091
71.284,534.948
276.565,332.881
174.963,445.139
309.699,76.608
-10.557,293.756
236.378,298.645
121.034,522.137
33.865,491.006
35.558,324.635
161.188,306.3
-80.987,-101.686
125.008,-68.53
305.337,342.175
871.275,-95.633
176.651,468.282
873.495,342.365
344.093,54.234
902.681,230.339
68.668,530.17
162.34,444.913
87.843,316.988
886.888,201.178
255.043,-76.71
339.542,315.923
224.282,204.379
168.091,-91.453
861.647,261.737
18.586,-53.389
79.942,529.81
-15.59,-71.506
-47.482,497.883
900.262,309.865
332.169,290.745
146.332,193.02
298.006,294.058
286.311,-65.445
376.483,61.963
-41.081,-98.489
-83.803,310.776
217.091,296.882
32.823,285.385
56.458,326.402
181.534,443.271
48.846,342.639
139.77,-81.078
261.964,-66.955
388.552,35.264
60.559,498.111
839.323,230.813
312.312,60.013
276.368,69.279
-81.086,-41.043
-10.454,-53.385
8.273,316.735
352.265,287.931
-99.385,-54.002
729.831,298.714
902.425,306.888
64.353,284.698
170.408,469.014
14.435,59.676
387.772,39.8
686.57,409.484
149.328,66.916
45.48,-87.565
883.276,173.264
151.28,42.434
-99.59,-58.33
195.124,-79.609
296.609,39.934
935.684,50.767
66.541,-73.09
848.716,161.782
148.492,42.875
62.814,504.676
352.519,500.866
73.972,533.917
108.262,301.115
258.153,459.218
931.418,84.808
-3.14,-71.56
165.691,309.958
839.759,-76.589
227.605,75.684
27.375,-55.149
260.498,297.14
145.665,-199.046
180.597,440.391
872.411,258.842
172.236,-85.488
304.993,33.076
14.371,-50.865
330.406,311.308
53.59,79.13
873.117,355.69
366.059,290.279
844.901,353.214
260.382,328.259
131.332,185.303
355.226,496.895
200.192,86.256
277.869,519.136
77.688,318.453
81.935,320.415
309.127,-81.785
703.95,391.202
383.84,65.289
210.971,443.379
391.91,70.81
-26.514,-47.819
692.678,373.449
24.82,347.507
331.885,499.11
310.582,-85.408
220.088,304.283
211.558,312.046
224.45,-91.304
267.493,541.896
145.043,184.364
217.68,493.955
859.538,189.89
375.499,503.389
116.41,300.103
292.689,276.605
278.339,-80.561
-94.042,-61.652
688.533,410.914
276.231,302.967
355.513,327.273
699.051,262.708
35.266,-68.585
19.445,330.053
195.941,50.096
-54.344,-67.346
295.474,342.169
403.253,43.718
298.995,-88.02
327.429,287.349
107.955,63.125
892.187,176.094
144.807,191.696
301.416,85.11
70.593,332.455
366.978,497.478
115.695,294.451
848.075,127.448
26.213,-51.583
382.228,38.526
28.225,283.931
118.125,296.444
